DATE_TIME,SL_NO,PM1_B,PM2.5_B,PM10_B,NO2_B,CO2_B,CO_B,HUMIDITY_B,TEMP_B,PM1_G,PM2.5_G,PM10_G,NO2_G,CO2_G,CO_G,HUMIDITY_G,TEMP_G,PM1_W,PM2.5_W,PM10_W,NO2_W,CO2_W,CO_W,HUMIDITY_W,TEMP_W,Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd],Wind Speed  [900 mb],Wind Direction  [900 mb],Wind Gust  [sfc],No_of_Student
02-07-2019 09:13,1,89.65,177.5,212.75,0.052,21116.545,4745.981,79.3135,21.646,74.88888889,141.8333333,178.2222222,0.252222222,461.8505556,119.3516667,66.83555556,22.11888889,74.88888889,141.8333333,178.2222222,0.252222222,461.8505556,119.3516667,66.83555556,22.11888889,12.8963911,-35.2273689,14.45092024,7.941392839,13.4333774,313.6744461,18.17312546,90
02-07-2019 09:14,2,89.9516129,175.1935484,210.016129,0.055483871,479.6230645,1504.007258,79.34096774,21.65532258,75.29508197,137.295082,180.5245902,0.343114754,105.4060656,36.6157377,66.19377049,22.11360656,75.29508197,137.295082,180.5245902,0.343114754,105.4060656,36.6157377,66.19377049,22.11360656,12.88496162,-36.72974927,14.41488312,8.025496554,13.42326975,313.6519518,18.15480669,90
02-07-2019 09:15,3,105.6229508,211.8360656,263.9180328,0.073606557,32.75377049,440.4659016,78.73360656,21.69983607,90.54098361,165.3114754,205.2622951,0.451147541,63.36803279,12.29754098,66.01967213,22.13639344,90.54098361,165.3114754,205.2622951,0.451147541,63.36803279,12.29754098,66.01967213,22.13639344,12.8730946,-38.03667353,14.37837937,8.110379445,13.41243982,313.6288128,18.13580816,90
02-07-2019 09:16,4,119.7258065,241.6451613,307.2096774,0.090645161,15.35693548,183.3016129,77.88403226,21.80564516,86.44262295,159.4262295,205.9672131,0.511311475,59.9704918,6.679344262,66.56147541,22.19491803,86.44262295,159.4262295,205.9672131,0.511311475,59.9704918,6.679344262,66.56147541,22.19491803,12.86080136,-39.15400962,14.34142423,8.195973269,13.4009075,313.6050033,18.11610661,90
02-07-2019 09:17,5,123.8064516,247.6774194,306.5322581,0.102258065,10.95564516,106.4687097,78.2833871,21.93467742,81,149.0967742,196.2096774,0.53516129,65.15032258,4.517580645,67.2533871,22.24467742,81,149.0967742,196.2096774,0.53516129,65.15032258,4.517580645,67.2533871,22.24467742,12.84809324,-40.08762549,14.30403294,8.282209783,13.38869266,313.5804972,18.09567877,90
02-07-2019 09:18,6,111.442623,226.2459016,278.1311475,0.110163934,9.076721311,76.37295082,78.82114754,22.0904918,73.85245902,136.147541,167.3114754,0.554590164,57.49065574,3.350983607,67.73196721,22.32278689,73.85245902,136.147541,167.3114754,0.554590164,57.49065574,3.350983607,67.73196721,22.32278689,12.83498158,-40.8433891,14.26622076,8.369020745,13.37581519,313.5552686,18.07450136,90
02-07-2019 09:19,7,110.0483871,221.1774194,272.1290323,0.11983871,8.28483871,63.47016129,79.17693548,22.25387097,74.17741935,134.0645161,160.7419355,0.579193548,66.83741935,2.613548387,68.05419355,22.41758065,74.17741935,134.0645161,160.7419355,0.579193548,66.83741935,2.613548387,68.05419355,22.41758065,12.82147769,-41.4271684,14.22800293,8.456337911,13.36229499,313.5292917,18.05255111,90
02-07-2019 09:20,8,106.9032258,217.7580645,263.9354839,0.128870968,7.657580645,56.00822581,79.26129032,22.42403226,68.96721311,124.442623,155.4754098,0.609836066,61.12491803,2.118852459,68.28868852,22.5304918,68.96721311,124.442623,155.4754098,0.609836066,61.12491803,2.118852459,68.28868852,22.5304918,12.80759293,-41.84483132,14.1893947,8.54409304,13.34815195,313.5025405,18.02980477,90
02-07-2019 09:21,9,109.4516129,217.7741935,268.0645161,0.136129032,7.441129032,51.39629032,79.19774194,22.58709677,75.11290323,130.9193548,168.516129,0.627258065,57.61274194,1.83516129,68.42,22.63290323,75.11290323,130.9193548,168.516129,0.627258065,57.61274194,1.83516129,68.42,22.63290323,12.79333863,-42.10224584,14.15041133,8.632217888,13.33340593,313.4749891,18.00623904,90
02-07-2019 09:22,10,106.9516129,220.1129032,265.9193548,0.145806452,7.160645161,48.48645161,79.06822581,22.74951613,70.26229508,130.1311475,171.6557377,0.642459016,56.81180328,1.60557377,68.50836066,22.75590164,70.26229508,130.1311475,171.6557377,0.642459016,56.81180328,1.60557377,68.50836066,22.75590164,12.77872611,-42.20527989,14.11106806,8.720644212,13.31807685,313.4466115,17.98183067,90
